question,option1,option2,option3,option4,answer
Which organ helps in digestion by producing enzymes?,Heart,Liver,Pancreas,Kidney,Pancreas
The liquid part of blood is called:,RBC,WBC,Plasma,Platelets,Plasma
Which vitamin deficiency causes night blindness?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,Vitamin A
The functional unit of nervous system is:,Neuron,Nephron,Alveoli,Cell,Neuron
Which gas is released during photosynthesis?,Nitrogen,Hydrogen,Oxygen,Carbon dioxide,Oxygen
The SI unit of electric power is:,Volt,Ohm,Watt,Ampere,Watt
Which acid is present in curd?,Citric acid,Lactic acid,Acetic acid,Sulphuric acid,Lactic acid
What is the chemical symbol of calcium?,Cl,Ca,Cu,Cr,Ca
Who discovered penicillin?,Einstein,Edison,Alexander Fleming,Newton,Alexander Fleming
The atomic number of hydrogen is:,1,2,3,4,1
What is 64 ÷ 8?,6,7,8,9,8
Find the square root of 361.,17,18,19,20,19
Solve: 50 - 15 + 5,30,35,40,45,40
What is 60% of 150?,70,80,90,100,90
What is the value of 16²?,216,236,256,276,256
The LCM of 9 and 12 is:,18,24,36,48,36
Who was the first President of India?,Nehru,Gandhi,Rajendra Prasad,Patel,Rajendra Prasad
Which is the national animal of India?,Lion,Tiger,Elephant,Leopard,Tiger
Who wrote Jana Gana Mana?,Premchand,Tagore,Tulsidas,Kalidasa,Tagore
Which state is famous for silk production?,Punjab,Assam,Karnataka,Gujarat,Karnataka
Which disease spreads through contaminated food and water?,Cancer,Typhoid,Asthma,Diabetes,Typhoid
Which organ removes carbon dioxide from body?,Heart,Lungs,Liver,Kidney,Lungs
The SI unit of resistance is:,Volt,Watt,Ohm,Ampere,Ohm
Which lens is used in microscope?,Concave,Convex,Plane,Cylindrical,Convex
Which planet is nearest to the Sun?,Earth,Mercury,Venus,Mars,Mercury
Which key is used to delete text on left side?,Delete,Shift,Backspace,Ctrl,Backspace
Which software is used for internet browsing?,MS Word,Paint,Chrome,Excel,Chrome
RAM stands for:,Read Access Memory,Random Access Memory,Run Access Memory,Real Access Memory,Random Access Memory
Which memory is permanent?,RAM,Cache,ROM,Register,ROM
What does LAN stand for?,Large Area Network,Local Area Network,Long Area Network,Light Area Network,Local Area Network
Which company developed Android OS?,Microsoft,Apple,Google,IBM,Google
Which device is used to scan documents?,Monitor,Printer,Scanner,Speaker,Scanner
Which shortcut key is used for save?,Ctrl + A,Ctrl + S,Ctrl + P,Ctrl + X,Ctrl + S
Which gas supports combustion?,Nitrogen,Oxygen,Hydrogen,Helium,Oxygen
Which is the highest mountain peak in the world?,K2,Everest,Kanchenjunga,Fuji,Everest
Who invented computer?,Charles Babbage,Edison,Newton,Faraday,Charles Babbage
Which river is called the lifeline of Egypt?,Amazon,Nile,Ganga,Yamuna,Nile
What is the chemical formula of common salt?,NaCl,H2O,CO2,NH3,NaCl
How many players are there in a basketball team?,4,5,6,7,5
Which is the smallest continent?,Europe,Australia,Africa,Antarctica,Australia
Which festival is known as festival of colours?,Diwali,Holi,Eid,Christmas,Holi
Which instrument measures earthquakes?,Barometer,Thermometer,Seismograph,Hygrometer,Seismograph
Which organ purifies blood?,Heart,Lungs,Kidney,Liver,Kidney
Which country is famous for Eiffel Tower?,Italy,France,Germany,Spain,France
Which vitamin helps in blood clotting?,Vitamin A,Vitamin B,Vitamin C,Vitamin K,Vitamin K
What is the currency of USA?,Yen,Rupee,Dollar,Pound,Dollar
Which planet is called Red Planet?,Earth,Mars,Venus,Jupiter,Mars
Which blood vessel carries blood away from heart?,Vein,Artery,Capillary,Nerve,Artery
What is the freezing point of water?,0°C,10°C,50°C,100°C,0°C
Which planet has rings around it?,Mars,Earth,Saturn,Venus,Saturn
