id,question,option1,option2,option3,option4,answer
1,"What is the normal body temperature of a human body?","35°C","37°C","39°C","40°C","37°C"
2,"Which organ purifies blood in the human body?","Heart","Kidney","Liver","Lungs","Kidney"
3,"How many bones are present in the adult human body?","206","210","201","212","206"
4,"Which vitamin is produced in sunlight?","Vitamin A","Vitamin B","Vitamin C","Vitamin D","Vitamin D"
5,"Blood pressure is measured using which instrument?","Thermometer","Sphygmomanometer","Barometer","Hygrometer","Sphygmomanometer"
6,"Which blood group is known as the universal donor?","A","B","O Negative","AB Positive","O Negative"
7,"Which gas is essential for human respiration?","Nitrogen","Carbon Dioxide","Oxygen","Helium","Oxygen"
8,"The largest organ in the human body is:","Brain","Liver","Skin","Heart","Skin"
9,"Which part of the body controls all activities?","Heart","Brain","Kidney","Lungs","Brain"
10,"The normal pulse rate of an adult is:","20–40","40–60","60–100","120–150","60–100"
11,"What is 25 × 4?","50","75","100","125","100"
12,"What is the square root of 144?","10","11","12","13","12"
13,"Solve: 15 + 20 ÷ 5","7","19","25","35","19"
14,"What is 30% of 200?","40","50","60","70","60"
15,"If a pen costs ₹20, what is the cost of 5 pens?","₹50","₹80","₹100","₹120","₹100"
16,"What is the value of 12²?","124","132","144","156","144"
17,"Capital of India?","Delhi","Mumbai","Chennai","Kolkata","Delhi"
18,"2 x 6 = ?","10","11","12","13","12"
19,"Largest planet?","Mars","Earth","Jupiter","Venus","Jupiter"
20,"HTML stands for?","Hyper Text Markup Language","High Text Language","Hyper Transfer Markup","Home Tool Markup","Hyper Text Markup Language"
21,"Who is known as the Father of the Nation in India?","Bhagat Singh","Mahatma Gandhi","Nehru","Subhash Chandra Bose","Mahatma Gandhi"
22,"National animal of India is:","Lion","Elephant","Tiger","Peacock","Tiger"
23,"National bird of India is:","Sparrow","Peacock","Crow","Pigeon","Peacock"
24,"Which is the largest planet?","Earth","Mars","Jupiter","Venus","Jupiter"
25,"Which disease spreads through mosquitoes?","Diabetes","Malaria","Cancer","Asthma","Malaria"
26,"What is the boiling point of water?","50°C","75°C","100°C","150°C","100°C"
27,"Which organ pumps blood?","Brain","Kidney","Heart","Liver","Heart"
28,"Which mineral is important for bones?","Iron","Calcium","Sodium","Zinc","Calcium"
29,"CPU stands for:","Central Process Unit","Central Processing Unit","Computer Processing Unit","Control Processing Unit","Central Processing Unit"
30,"Which device is used to type text?","Mouse","Monitor","Keyboard","Printer","Keyboard"
31,"Which one is an output device?","Keyboard","Mouse","Monitor","Scanner","Monitor"
32,"Full form of USB:","Universal Serial Bus","United System Bus","Unique Service Bus","None","Universal Serial Bus"
33,"Which software is used for browsing internet?","Paint","Chrome","Excel","Word","Chrome"
34,"Which key is used to delete text?","Shift","Alt","Delete","Ctrl","Delete"
35,"WWW stands for:","World Wide Web","World Web Wide","Wide World Web","Web World Wide","World Wide Web"
36,"Which one stores data permanently?","RAM","ROM","Cache","Register","ROM"
37,"The brain of computer is:","Keyboard","CPU","Mouse","Monitor","CPU"
38,"Which company developed Windows?","Apple","Google","Microsoft","IBM","Microsoft"
39,"Which gas do plants release?","Oxygen","Nitrogen","Hydrogen","Carbon","Oxygen"
40,"Which is the longest river in India?","Yamuna","Ganga","Godavari","Krishna","Ganga"
41,"Who invented the telephone?","Newton","Graham Bell","Edison","Einstein","Graham Bell"
42,"Which planet is called the Red Planet?","Earth","Jupiter","Mars","Venus","Mars"
43,"What is H2O?","Salt","Water","Oxygen","Hydrogen","Water"
44,"Which is the smallest prime number?","0","1","2","3","2"
45,"Which festival is known as the festival of lights?","Holi","Eid","Diwali","Christmas","Diwali"
46,"The Sun rises in the:","North","South","East","West","East"
47,"Which continent is India in?","Europe","Asia","Africa","Australia","Asia"
48,"Which animal is known as the Ship of the Desert?","Horse","Camel","Donkey","Elephant","Camel"
49,"Which is the largest ocean?","Indian Ocean","Atlantic Ocean","Pacific Ocean","Arctic Ocean","Pacific Ocean"
50,"How many days are there in a leap year?","365","366","364","360","366"
