question,option1,option2,option3,option4,answer
What is the normal body temperature of a human body?,35°C,37°C,39°C,40°C,37°C
Which organ purifies blood in the human body?,Heart,Kidney,Liver,Lungs,Kidney
How many bones are present in the adult human body?,206,210,201,212,206
Which vitamin is produced in sunlight?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,Vitamin D
Blood pressure is measured using which instrument?,Thermometer,Sphygmomanometer,Barometer,Hygrometer,Sphygmomanometer
Which blood group is known as the universal donor?,A,B,O Negative,AB Positive,O Negative
Which gas is essential for human respiration?,Nitrogen,Carbon Dioxide,Oxygen,Helium,Oxygen
The largest organ in the human body is:,Brain,Liver,Skin,Heart,Skin
Which part of the body controls all activities?,Heart,Brain,Kidney,Lungs,Brain
The normal pulse rate of an adult is:,20–40,40–60,60–100,120–150,60–100
What is 25 × 4?,50,75,100,125,100
What is the square root of 144?,10,11,12,13,12
Solve: 15 + 20 ÷ 5,7,19,25,35,19
What is 30% of 200?,40,50,60,70,60
If a pen costs ₹20, what is the cost of 5 pens?,₹50,₹80,₹100,₹120,₹100
What is the value of 12²?,124,132,144,156,144
Capital of India?,Delhi,Mumbai,Chennai,Kolkata,Delhi
2 x 6 = ?,10,11,12,13,12
Largest planet?,Mars,Earth,Jupiter,Venus,Jupiter
HTML stands for?,Hyper Text Markup Language,High Text Language,Hyper Transfer Markup,Home Tool Markup,Hyper Text Markup Language
Who is known as the Father of the Nation in India?,Bhagat Singh,Mahatma Gandhi,Nehru,Subhash Chandra Bose,Mahatma Gandhi
National animal of India is:,Lion,Elephant,Tiger,Peacock,Tiger
National bird of India is:,Sparrow,Peacock,Crow,Pigeon,Peacock
Which disease spreads through mosquitoes?,Diabetes,Malaria,Cancer,Asthma,Malaria
What is the boiling point of water?,50°C,75°C,100°C,150°C,100°C
Which organ pumps blood?,Brain,Kidney,Heart,Liver,Heart
Which mineral is important for bones?,Iron,Calcium,Sodium,Zinc,Calcium
CPU stands for:,Central Process Unit,Central Processing Unit,Computer Processing Unit,Control Processing Unit,Central Processing Unit
Which device is used to type text?,Mouse,Monitor,Keyboard,Printer,Keyboard
Which one is an output device?,Keyboard,Mouse,Monitor,Scanner,Monitor
Full form of USB:,Universal Serial Bus,United System Bus,Unique Service Bus,None,Universal Serial Bus
Which software is used for browsing internet?,Paint,Chrome,Excel,Word,Chrome
Which key is used to delete text?,Shift,Alt,Delete,Ctrl,Delete
WWW stands for:,World Wide Web,World Web Wide,Wide World Web,Web World Wide,World Wide Web
Which one stores data permanently?,RAM,ROM,Cache,Register,ROM
The brain of computer is:,Keyboard,CPU,Mouse,Monitor,CPU
Which company developed Windows?,Apple,Google,Microsoft,IBM,Microsoft
Which gas do plants release?,Oxygen,Nitrogen,Hydrogen,Carbon,Oxygen
Which is the longest river in India?,Yamuna,Ganga,Godavari,Krishna,Ganga
Who invented the telephone?,Newton,Graham Bell,Edison,Einstein,Graham Bell
Which planet is called the Red Planet?,Earth,Jupiter,Mars,Venus,Mars
What is H2O?,Salt,Water,Oxygen,Hydrogen,Water
Which is the smallest prime number?,0,1,2,3,2
Which festival is known as the festival of lights?,Holi,Eid,Diwali,Christmas,Diwali
The Sun rises in the:,North,South,East,West,East
Which continent is India in?,Europe,Asia,Africa,Australia,Asia
Which animal is known as the Ship of the Desert?,Horse,Camel,Donkey,Elephant,Camel
Which is the largest ocean?,Indian Ocean,Atlantic Ocean,Pacific Ocean,Arctic Ocean,Pacific Ocean
How many days are there in a leap year?,365,366,364,360,366
What is the capital of Japan?,Tokyo,Beijing,Seoul,Bangkok,Tokyo
